mask_of_subjects_face,order_id,line_item_id,mask_quality,subject_class,number_of_heads
/refined_masks/mask_images3/mask_images2/143893-20263-1539886090-84-1034e34e-75fe-4346-adc8-485ece94df1d.npy,20263,143893,good,dog,1
/refined_masks/mask_images3/mask_images2/143895-20265-1539834790-7-img-1144-01.npy,20265,143895,good,dog,1
/refined_masks/mask_images3/mask_images2/143896-20268-1539885630-90-img-0561.npy,20268,143896,good,dog,1
/refined_masks/mask_images3/mask_images2/143897-20270-1539886076-44-img-5953.npy,20270,143897,bad,dog,1
/refined_masks/mask_images3/mask_images2/143900-20273-1539886709-49-linus.npy,20273,143900,good,cat,1
/refined_masks/mask_images3/mask_images2/143902-20275-1539886961-65-ron-daugherty-headshot-1-2018.npy,20275,143902,good,human,1
/refined_masks/mask_images3/mask_images2/143904-20279-1539887122-29-4593e6ab-7c67-41dd-b704-6ca595a1bd54.npy,20279,143904,bad,dog,1
/refined_masks/mask_images3/mask_images2/143905-20277-1539886419-99-74d56ee8-b9ca-4226-83cb-0bbc7afe7956.npy,20277,143905,okay,human,3
/refined_masks/mask_images3/mask_images2/143906-20281-1539886740-66-buster1.npy,20281,143906,good,dog,1
/refined_masks/mask_images3/mask_images2/143906-20282-1539886784-60-buster1.npy,20282,143906,good,dog,1
/refined_masks/mask_images3/mask_images2/143906-20283-1539887360-26-img-9962.npy,20283,143906,good,cat,1
/refined_masks/mask_images3/mask_images2/143909-20287-1539887361-14-c4972c45-6eb2-41fb-a555-2b351c1f0596.npy,20287,143909,bad,human,1
/refined_masks/mask_images3/mask_images2/143910-20288-1539887414-25-834e1b5d-2bb4-4c0c-8615-1af6f05ac249.npy,20288,143910,good,cat,1
/refined_masks/mask_images3/mask_images2/143912-20290-1539884970-10-thumb-img-7052-1024.npy,20290,143912,good,dog,1
/refined_masks/mask_images3/mask_images2/143914-20294-1539880738-48-42294945-10215012761645245-7649316202757488640-o-1.npy,20294,143914,good,human,2
/refined_masks/mask_images3/mask_images2/143915-20297-1539888144-4-4e190186-4476-470b-b1e6-95b48cead70f.npy,20297,143915,good,dog,1
/refined_masks/mask_images3/mask_images2/143916-20298-1539887883-86-haze2.npy,20298,143916,okay,cat,2
/refined_masks/mask_images3/mask_images2/143917-20299-1539888027-28-44295949-2200296896913923-493668999905673216-n.npy,20299,143917,good,cat,1
/refined_masks/mask_images3/mask_images2/143918-20301-1539888291-69-img-4258.npy,20301,143918,good,dog,1
/refined_masks/mask_images3/mask_images2/143921-20309-1539888549-74-img-2825.npy,20309,143921,good,dog,1
